id	en	zh	source	count	chapters	category	reason
1663	bailiff	法庭执达官	dictionary	2	2,4	dict-rare	词典补注且教材出现≤2次
1665	Cabinet	内阁	dictionary	1	6	dict-rare	词典补注且教材出现≤2次
1666	Inns of Court	〈英〉出庭律师公会	dictionary	1	2	dict-rare	词典补注且教材出现≤2次
1670	bail	保释	dictionary	1	7	dict-rare	词典补注且教材出现≤2次
1671	ballot	选票；投票	dictionary	1	5	dict-rare	词典补注且教材出现≤2次
1674	court of limited jurisdiction	有限管辖权法院	dictionary	1	3	dict-rare	词典补注且教材出现≤2次
1675	enumerated powers	明确列举的权力	dictionary	1	12	dict-rare	词典补注且教材出现≤2次
1676	federal jurisdiction	联邦法院管辖权	dictionary	1	3	dict-rare	词典补注且教材出现≤2次
1678	prosecuting attorney	〈美〉检察官	dictionary	1	4	dict-rare	词典补注且教材出现≤2次
1679	states' rights	州权	dictionary	1	7	dict-rare	词典补注且教材出现≤2次
933	restatements	法律重述	textbook	1	2	dup	归一化重复(同组:1669)
945	federal courts	联邦法院	textbook	1	3	dup	归一化重复(同组:1644)
956	bar exams	律师资格考试	textbook	1	3	dup	归一化重复(同组:1672)
1016	circuit courts	巡回法院	textbook	1	3	dup	归一化重复(同组:1673)
1644	federal court	联邦法院	manual	26	1,3,4,5,6,9,12	dup	归一化重复(同组:945)
1669	Restatement	法律重述	manual	1	2	dup	归一化重复(同组:933)
1672	bar exam	律师资格考试	dictionary	1	6	dup+dict-rare	归一化重复(同组:956)；词典补注且教材出现≤2次
1673	circuit court	巡回法院；巡回上诉法院	dictionary	1	6	dup+dict-rare	归一化重复(同组:1016)；词典补注且教材出现≤2次
51	kill	杀	textbook	1	1	review-once	单次出现+单token短词，疑日常词
56	common	普通	textbook	1	1	review-once	单次出现+单token短词，疑日常词
98	slander	口头诽谤	textbook	1	10	review-once	单次出现+单token短词，疑日常词
124	duty	义务	textbook	1	11	review-once	单次出现+单token短词，疑日常词
134	credit	信贷	textbook	1	11	review-once	单次出现+单token短词，疑日常词
155	nullity	自始无效	textbook	1	11	review-once	单次出现+单token短词，疑日常词
157	rescind	解除	textbook	1	11	review-once	单次出现+单token短词，疑日常词
250	promisee	受允诺人	textbook	1	11	review-once	单次出现+单token短词，疑日常词
259	surety	保证	textbook	1	11	review-once	单次出现+单token短词，疑日常词
284	default	违约	textbook	1	11	review-once	单次出现+单token短词，疑日常词
298	express	明示	textbook	1	11	review-once	单次出现+单token短词，疑日常词
332	charter	特许	textbook	1	11	review-once	单次出现+单token短词，疑日常词
348	compact	契约	textbook	1	11	review-once	单次出现+单token短词，疑日常词
378	dominion	最高所有权	textbook	1	12	review-once	单次出现+单token短词，疑日常词
380	seisin	占有	textbook	1	12	review-once	单次出现+单token短词，疑日常词
387	alienate	让与	textbook	1	12	review-once	单次出现+单token短词，疑日常词
403	realtor	房地产经纪人	textbook	1	12	review-once	单次出现+单token短词，疑日常词
413	covenant	契约	textbook	1	12	review-once	单次出现+单token短词，疑日常词
415	sublease	转租	textbook	1	12	review-once	单次出现+单token短词，疑日常词
416	evict	驱逐	textbook	1	12	review-once	单次出现+单token短词，疑日常词
466	escheat	收归国有	textbook	1	12	review-once	单次出现+单token短词，疑日常词
